pathway,E1R1_0_3cm_-CH4_+O2,E1R1_3_6cm_-CH4_+O2,E1R1_6_9cm_-CH4_+O2,E1R2_0_3cm_-CH4_+O2,E1R2_3_6cm_-CH4_+O2,E1R2_6_9cm_-CH4_+O2,E1R1_0_3cm_+CH4_+O2,E1R1_3_6cm_+CH4_+O2,E1R1_6_9cm_+CH4_+O2,E1R2_0_3cm_+CH4_+O2,E1R2_3_6cm_+CH4_+O2,E1R2_6_9cm_+CH4_+O2,E1T0_0_3cm,E1T0_3_6cm,E1T0_6-9cm,E2R1_6_9cm_+CH4_+O2,E2R2_6_9cm_+CH4_+O2,E2R3_6_9cm_+CH4_+O2,E3_0_3cm_+CH4_+O2,E3_0_3cm_-CH4_+O2,E4_0_3cm_+CH4_+O2,E4_0_3cm_-CH4_+O2,E5T0_4_8cm,E5T0_0_4cm,E5_4_8cm_+CH4_-O2,E5_4_8cm_-CH4_-O2,E5_0_4cm_+CH4_+O2,E5_0_4cm_-CH4_+O2,E6T0_4_8cm,E6T0_0_4cm,E6_4_8cm_+CH4_-O2,E6_4_8cm_-CH4_-O2,E6_0_4cm_+CH4_+O2,E6_0_4cm_-CH4_+O2
Aceticlastic methanogenesis,76691,94076,71948,73098,64103,46388,56139,84844,48282,61559,45949,64617,72664,51056,66918,52466,60679,77189,44568,69509,68870,71416,46691,22603,43488,22232,14713,27520,37917,44398,65097,59161,73427,64956
Anaerobic oxidation of methane (AOM),24642,26403,20419,23017,18671,12851,17330,23917,14088,19216,13103,17681,21613,14032,17826,13893,15767,19695,16370,24874,19955,19342,8841,7169,9279,4482,5000,9261,6940,12185,13534,12498,20203,17480
Annamox,36,63,86,30,69,54,32,82,74,36,29,89,39,35,84,127,149,235,158,177,43,56,39,30,6,13,46,35,21,16,28,23,38,62
Assimilatory nitrate reduction,1457,1373,1018,1559,955,562,1145,1268,819,1103,653,878,1504,889,981,936,1086,1226,680,1122,985,1055,702,370,887,383,279,599,421,583,932,838,1135,1053
Assimilatory sulphate reduction,19259,22439,17112,19534,15549,10845,15376,21313,11748,16019,11214,15315,18587,12121,15800,12499,14480,17980,13057,20312,17162,17857,10059,6163,9802,5011,4072,8151,7791,10991,13620,12758,19357,16818
Central methanogenic pathway,52515,70747,55563,51816,48827,36956,38787,62691,38806,43850,34665,51272,53220,40102,55345,48228,53474,67100,33844,51958,53931,57088,56497,14460,50095,27016,10556,17796,39913,33931,70580,60450,55622,48579
Denitrication,20236,23233,15907,20891,16001,10801,16241,20930,11384,17698,11655,14606,20606,12465,14712,10403,12676,14938,11094,16712,16737,17605,6112,5605,6431,3195,4138,7106,5206,9889,9981,9281,18315,15573
Dissimilatory nitrate reduction,4492,5766,4301,4827,3895,2840,3646,5105,2926,4169,2859,3886,5004,3409,3853,3322,3495,4509,2830,4415,4904,4978,2247,1180,2288,1167,864,1596,1914,2759,3653,3216,4474,3972
Dissimilatory sulphur reduction and oxidation,19556,26088,20680,19249,18731,14061,14888,23024,13983,16667,13154,18279,19856,14787,19730,17926,18921,24792,11724,18083,20853,21447,16813,4568,15999,8546,3562,5655,13977,12480,24546,21460,20204,17462
Hydrogenotrophic methanogenesis,6574,7107,5707,5994,5064,3360,4843,6989,3706,5138,3532,4972,5562,3682,4613,3829,4522,5754,4057,6314,5287,5243,3247,2470,3362,1720,1471,3111,2308,3776,3729,3635,5974,5110
Linkages between inorganic and organic sulphur transformation,51244,55794,42657,46576,38923,27246,36975,52081,27127,39912,27672,37331,45709,29806,37833,29702,34881,43166,30839,49541,43188,42536,21244,16533,20932,10500,10245,21060,17151,28296,29946,28490,45980,39827
Methylotrophic methanogenesis,6052,7115,5969,5246,4961,3769,4155,6431,3895,4726,3582,5161,5368,3947,5330,5417,5657,7211,4234,6318,5886,5948,6099,1720,5577,3020,1119,2342,4437,3933,7184,6648,6149,5299
Nitrification,1598,2019,1458,1530,1454,986,1158,1645,1023,1372,1037,1554,1530,1101,1635,1716,1761,2198,1245,1942,1697,1649,1311,506,1260,758,417,627,1076,1081,1747,1564,1691,1441
Nitrogen fixation,260,523,616,371,380,254,237,440,351,324,228,429,463,352,456,1077,870,999,71,153,406,450,294,83,289,175,75,128,119,264,146,161,354,219
Organic degradation and synthesis,83597,91119,72550,77309,63622,45065,60182,86239,47054,64509,45071,62772,74089,48147,63114,51265,59425,75176,51947,81555,69708,70054,40846,26463,41499,20906,17043,33788,31562,46496,56317,52854,76298,68166
Organic phosphoester hydrolysis,6131,6628,5030,5676,4512,3061,4505,6059,3296,4813,3289,4599,5506,3330,4362,3182,3954,4709,3876,5787,4983,4913,2113,1938,2045,1022,1269,2606,1580,3205,3050,2885,5742,4982
Organic sulphur transformation,98710,93310,72931,81253,66439,46000,62231,89071,46155,71827,46705,62827,82884,51671,65264,46698,55917,68077,60827,96572,76075,73595,30958,32353,29479,14498,19079,39805,25237,52357,46618,44810,83942,73098
Oxidation of formaldehyde,10448,10140,8017,9032,7355,5175,6866,9333,4890,8132,5178,6957,9096,5633,6781,5044,5843,6920,5979,9570,8300,7701,2761,3511,2990,1338,2109,4144,2435,5310,4354,3977,8106,7053
Oxidation of formate,13709,17350,13313,13114,11956,8470,10062,15475,9144,11250,8507,12199,12868,9492,12603,10971,12608,15313,8720,13439,12643,13059,9557,3852,8539,4457,2608,5023,7354,8107,12899,11384,13013,11160
Oxidation of methane and C1 compounds,20234,19766,15292,17672,13639,9822,13714,18700,10123,15363,9934,13314,17153,10615,13455,11212,13692,15520,11066,17459,14809,14742,6798,6025,6563,3186,3653,7909,4959,9528,9055,8528,15883,13999
Oxidative phosphorylation,10039,10549,8021,9552,7663,5078,7244,10319,5626,7638,5174,7427,8919,5667,7377,5725,6926,8630,5872,9194,7926,8255,4110,3130,4135,1975,2055,3986,3114,5188,5773,5103,8760,7686
Pentose phosphate pathway,22700,24956,20052,20937,17877,12418,16092,23844,13114,17408,12577,17554,20162,13399,17905,14235,16260,20930,15080,23769,19964,19798,12102,7525,11941,6123,4710,9588,9441,13427,16013,15374,21787,18934
Phosphonate and phosphinate metabolism,6307,5558,4459,5141,4036,2899,3925,5629,2920,4454,2820,3811,5306,3070,3990,3071,3613,4483,4336,7109,4791,4673,2240,2639,2146,1022,1387,3016,1778,3737,2937,2904,5643,4852
Phosphotransferase system,2635,3148,2555,2526,2153,1644,1840,2663,1802,1995,1506,2345,2295,1822,2446,2386,2586,3320,1703,2720,2407,2548,2361,745,2394,1278,474,983,1672,1516,2863,2828,2603,2376
Purine metabolism,106883,122688,98216,103340,84612,60347,79230,115230,65886,84027,59466,86969,98609,66007,87247,74254,84825,107851,67419,105386,93764,95977,67757,35460,67195,34132,22670,43341,50149,61448,87890,80194,103909,92224
Pyrimidine metabolism,50244,56052,43931,47931,37772,27698,37388,52311,29555,40141,27619,39327,45165,30218,39618,33150,38696,48201,31323,48073,42670,44246,30645,16196,28914,14894,10780,19866,21356,26976,38320,33770,47185,41794
Pyruvate metabolism,28977,34568,27416,29289,23873,17145,22611,33088,18123,23097,17574,24760,27002,18277,24520,19412,22098,28979,18051,28485,25492,26198,16685,8885,16889,8530,5743,11409,12468,16359,22244,20585,27982,24635
Related Nitrogen genes,2837,5585,4033,3543,3980,2852,2622,4742,3170,2677,2663,4080,3458,3321,4433,4317,4768,6151,1613,2658,3888,4223,4369,411,4032,2042,511,755,3191,2320,5321,4884,3959,3345
Related phosphorus genes,4194,4655,3825,4096,3360,2371,3005,4419,2721,3369,2270,3410,3892,2610,3302,2711,3002,3907,2705,4249,3569,3630,2162,1474,2234,1116,903,1654,1817,2451,3089,2974,3912,3571
Related sulphur genes,17414,17691,13824,14980,12993,8892,12316,17092,8457,13228,9145,11507,15122,9576,11674,8722,9994,12274,8235,12976,12972,12670,5506,4871,5459,2784,2930,6034,4779,8671,8588,8154,13559,11517
RuMP cycle,16239,21624,16847,17412,14511,10781,12872,19796,11506,13576,10509,15614,15870,11473,15344,13072,15003,18917,10762,16553,15244,16496,13739,4932,12771,6409,3249,5877,9478,9574,17178,15440,16887,14595
SOX systems,7306,7020,5080,7266,4993,3379,5691,6728,3278,6077,3610,4178,6688,3804,4356,3482,4326,4975,3575,5230,5169,5121,1749,2045,2424,1135,1383,2497,1568,3149,3386,2978,5497,4930
Serine cycle,87003,97686,78502,81273,67842,49044,62496,91240,52007,67830,48009,69258,78377,52188,69504,59496,68044,85695,55386,84289,73861,76203,52484,28945,52175,25981,17637,35370,39346,49501,68903,62829,82557,73743
Sulphur disproportionation,501,811,596,595,559,392,458,736,408,532,418,573,574,530,609,472,509,667,299,474,692,684,435,65,374,208,74,95,403,359,726,583,639,506
Sulphur oxidation,19756,19910,15411,18085,13788,9482,13901,18830,9724,15768,9756,12798,17683,10582,12584,10095,11336,14049,9574,15181,14699,14353,6161,5421,6658,3346,3306,6656,5152,9133,9981,9106,15340,13136
Sulphur reduction,11851,20185,15694,13162,13481,10549,9308,16819,11370,10807,9696,15016,12718,11180,16247,13945,15541,19892,7973,12132,14159,15542,16504,2726,15044,8027,2256,3645,13208,8885,22273,19625,14335,12869
Transporters,30520,30551,24489,26302,21770,15337,20984,29064,15329,22635,15317,21121,25478,16294,21125,17949,20437,25695,16149,25932,23408,22713,12024,9265,12938,6274,5703,12036,10059,16676,18093,16919,25550,22579
Two-component system,33992,38822,30045,32402,26652,19147,25416,36087,20345,26809,18896,26692,29867,20063,26659,22110,25168,31969,19015,29741,27217,28374,17052,9380,16703,8128,6205,12003,12686,16446,24327,22201,29853,26517
