sample,Year,Methane,Oxygen,Exp,depth,sediment,Site,d13C,Oxidation
E1R1_0_3cm_-CH4_+O2,22,No,Yes,4,0_3,surface,CCS,4.698,NA
E1R1_3_6cm_-CH4_+O2,22,No,Yes,4,3_6,deep,CCS,6.341,NA
E1R1_6_9cm_-CH4_+O2,22,No,Yes,4,6_9,deep,CCS,6.559,NA
E1R2_0_3cm_-CH4_+O2,22,No,Yes,4,0_3,surface,CCS,4.938,NA
E1R2_3_6cm_-CH4_+O2,22,No,Yes,4,3_6,deep,CCS,6.493,NA
E1R2_6_9cm_-CH4_+O2,22,No,Yes,4,6_9,deep,CCS,7.102,NA
E1R1_0_3cm_+CH4_+O2,22,Yes,Yes,4,0_3,surface,CCS,32.154,Yes
E1R1_3_6cm_+CH4_+O2,22,Yes,Yes,4,3_6,deep,CCS,187.93,Yes
E1R1_6_9cm_+CH4_+O2,22,Yes,Yes,4,6_9,deep,CCS,148.89,Yes
E1R2_0_3cm_+CH4_+O2,22,Yes,Yes,4,0_3,surface,CCS,1098.424,Yes
E1R2_3_6cm_+CH4_+O2,22,Yes,Yes,4,3_6,deep,CCS,946.117,NA
E1R2_6_9cm_+CH4_+O2,22,Yes,Yes,4,6_9,deep,CCS,986.35,Yes
E1T0_0_3cm,22,NA,NA,4,0_3,surface,CCS,NA,NA
E1T0_3_6cm,22,NA,NA,4,3_6,deep,CCS,NA,NA
E1T0_6-9cm,22,NA,NA,4,6_9,deep,CCS,NA,NA
E2R1_6_9cm_+CH4_+O2,22,NA,Yes,5,6_9,deep,CCS,1962.119,Yes
E2R2_6_9cm_+CH4_+O2,22,Yes,Yes,5,6_9,deep,CCS,1155.805,Yes
E2R3_6_9cm_+CH4_+O2,22,Yes,Yes,5,6_9,deep,CCS,1957.122,Yes
E3_0_3cm_+CH4_+O2,22,Yes,Yes,1,0_3,surface,Jetty,16.565,Yes
E3_0_3cm_-CH4_+O2,22,No,Yes,1,0_3,surface,Jetty,4.95,NA
E4_0_3cm_+CH4_+O2,22,Yes,Yes,3,0_3,surface,CCS,52.249,Yes
E4_0_3cm_-CH4_+O2,22,No,Yes,3,0_3,surface,CCS,9.823,NA
E5T0_4_8cm,23,NA,NA,12,4_8,deep,CCS,NA,NA
E5T0_0_4cm,23,NA,NA,12,0_4,surface,CCS,NA,NA
E5_4_8cm_+CH4_-O2,23,Yes,No,12,4_8,deep,CCS,48.66,Yes
E5_4_8cm_-CH4_-O2,23,No,No,12,4_8,deep,CCS,4.575,NA
E5_0_4cm_+CH4_+O2,23,Yes,Yes,12,0_4,surface,CCS,10.35,No
E5_0_4cm_-CH4_+O2,23,No,Yes,12,0_4,surface,CCS,7.64,NA
E6T0_4_8cm,23,NA,NA,14,4_8,deep,CCS,NA,NA
E6T0_0_4cm,23,NA,NA,14,0_4,surface,CCS,NA,NA
E6_4_8cm_+CH4_-O2,23,Yes,No,14,4_8,deep,CCS,8.463,No
E6_4_8cm_-CH4_-O2,23,No,No,14,4_8,deep,CCS,4.953,NA
E6_0_4cm_+CH4_+O2,23,Yes,Yes,14,0_4,surface,CCS,8.515,No
E6_0_4cm_-CH4_+O2,23,No,Yes,14,0_4,surface,CCS,6.33,NA
