pathway,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Aceticlastic methanogenesis,55766.390993224304,-0.008056855142367404,0.026938088675149168,-0.29908785435842694,0.7648730131970266,0.9636781082015954
Anaerobic oxidation of methane (AOM),15700.981863801042,-0.004633023644804765,0.037331188695889694,-0.12410597697669559,0.9012313658061981,0.9636781082015954
Annamox,65.21891714698411,0.5214342765140773,0.3683152110808736,1.4157283240728882,0.15685506219059364,0.9636781082015954
Assimilatory nitrate reduction,911.1693317024699,0.02863400553366095,0.07533882241042948,0.3800697252429714,0.7038936582485481,0.9636781082015954
Assimilatory sulphate reduction,13890.4601926517,0.0014006077453861414,0.014593772539596542,0.0959729735122254,0.9235420374704539,0.9636781082015954
Central methanogenic pathway,45700.229128100924,0.015053083677803588,0.07663765243713302,0.19641890375167545,0.8442823013864248,0.9636781082015954
Denitrication,12877.224020138723,0.006870524866342935,0.05528710582383365,0.12426993173119091,0.9011015537315736,0.9636781082015954
Dissimilatory nitrate reduction,3387.2637280876434,0.006061485253988895,0.042261102119746055,0.14342941735910691,0.8859510514610165,0.9636781082015954
Dissimilatory sulphur reduction and oxidation,16391.02573878732,0.01347912473776732,0.08082500316270054,0.16676924479215763,0.8675516188511674,0.9636781082015954
Hydrogenotrophic methanogenesis,4437.677956415369,-0.008702399499666561,0.04256270644315796,-0.20446067054707912,0.8379935231260165,0.9636781082015954
Linkages between inorganic and organic sulphur transformation,33465.36600092779,-0.022361511779688956,0.029176927302379158,-0.7664107857534931,0.4434319171265455,0.9636781082015954
Nitrification,1355.91781839866,0.07213809218420777,0.07448160111039223,0.9685357337752306,0.3327768817111083,0.9636781082015954
Nitrogen fixation,318.957609798533,0.16095892089027522,0.2036115181264419,0.7905197229084083,0.429224308535501,0.9636781082015954
Organic degradation and synthesis,56714.15632328881,-0.01515920522289095,0.010555166533566043,-1.4361881619474024,0.15094880664333923,0.9636781082015954
Organic phosphoester hydrolysis,3903.985382244544,-0.004423195765283697,0.05715913077951364,-0.07738388784017358,0.938318157985764,0.9636781082015954
Organic sulphur transformation,57773.756849364894,-0.039768858540457,0.05628104573753853,-0.7066119333659046,0.47980767101007493,0.9636781082015954
Oxidation of formaldehyde,6052.166227152248,-0.027931055808376244,0.06939645061431754,-0.40248536576615124,0.6873268562904578,0.9636781082015954
Oxidation of formate,10439.731569310992,0.017197715481342846,0.03553709691615881,0.48393698342654995,0.6284305923783942,0.9636781082015954
Oxidation of methane and C1 compounds,11885.6343464001,-0.01188855059665264,0.050022401093898466,-0.2376645330226413,0.8121412940740529,0.9636781082015954
Oxidative phosphorylation,6463.968874998431,0.007854608483293071,0.03225843716721694,0.24349005014029074,0.8076257920559775,0.9636781082015954
Pentose phosphate pathway,15886.991499238822,-0.018242509343954116,0.013280284738618753,-1.373653479801177,0.16954928555903107,0.9636781082015954
Phosphonate and phosphinate metabolism,3782.021412121068,-0.03598563863914747,0.06080362914681106,-0.5918337300600879,0.5539619339488316,0.9636781082015954
Phosphotransferase system,2129.287027244305,-0.024417363516361135,0.07909952146520911,-0.30869167175810025,0.757556079616844,0.9636781082015954
Purine metabolism,78153.83892146878,0.0030842494988654896,0.02165027468328469,0.1424577537229454,0.8867184466171433,0.9636781082015954
Pyrimidine metabolism,35476.03579855323,0.016689106224886553,0.017940447472267293,0.9302502766826141,0.3522415160425971,0.9636781082015954
Pyruvate metabolism,21179.939214256665,-0.004281108337842967,0.017377303722790775,-0.24636205973819658,0.8054019731827823,0.9636781082015954
Related Nitrogen genes,3311.8431086105247,0.05299429554253504,0.1255735895613659,0.4220178440995949,0.673011992902287,0.9636781082015954
Related phosphorus genes,2969.429612969397,-0.014076994611694513,0.021373874187170957,-0.658607535930188,0.5101478224285955,0.9636781082015954
Related sulphur genes,10136.955622027845,-0.046672680914955036,0.048905178687601414,-0.954350483270755,0.3399062620075318,0.9636781082015954
RuMP cycle,13302.350687748549,0.010927614362082708,0.04855471183623839,0.22505775338423442,0.8219343457957232,0.9636781082015954
SOX systems,4175.071139406523,0.009118624140152182,0.05202430732973294,0.17527622390737155,0.8608625931305587,0.9636781082015954
Serine cycle,62137.41118897297,-0.0015806276870145275,0.018091169491986987,-0.08737012207611153,0.9303773176680901,0.9636781082015954
Sulphur disproportionation,464.886034487014,0.07149497246880697,0.1345735148581401,0.5312707522291663,0.5952311700963772,0.9636781082015954
Sulphur oxidation,11492.18737495413,-0.03085427276812146,0.03789532588552239,-0.8141973197784028,0.41553192065783,0.9636781082015954
Sulphur reduction,12550.972874201803,0.014068517369592016,0.10736041450291015,0.13104008059889402,0.8957436010249759,0.9636781082015954
Transporters,18945.836377146232,-0.01856757518603617,0.027200561021384555,-0.6826173611433493,0.49484866078694456,0.9636781082015954
Two-component system,23007.562900232242,-0.002706324549083035,0.01938852237308174,-0.1395838474437015,0.8889888035407908,0.9636781082015954
Methylotrophic methanogenesis,4932.788799990857,-0.0010182651197191087,0.07780676793021335,-0.013087102148137212,0.989558301313394,0.989558301313394
